Voltage 1,Voltage2,Voltage3,Voltage 4,Current,Audio 
3.65,3.85,4.8001,-4.8001,0.0171,0.582
3.6501,3.8501,4.8002,-4.8002,0.0172,0.583
3.6502,3.8502,4.8003,-4.8003,0.0173,0.584
3.6503,3.8503,4.8004,-4.8004,0.0174,0.585
3.6504,3.8504,4.8005,-4.8005,0.0175,0.586
3.6505,3.8505,4.8006,-4.8006,0.0176,0.587
3.6506,3.8506,4.8007,-4.8007,0.0177,0.588
3.6507,3.8507,4.8008,-4.8008,0.0178,0.589
3.6508,3.8508,4.8009,-4.8009,0.0179,0.59
3.6509,3.8509,4.801,-4.801,0.018,0.591
3.651,3.851,4.8011,-4.8011,0.0181,0.592
3.6511,3.8511,4.8012,-4.8012,0.0182,0.593
3.6512,3.8512,4.8013,-4.8013,0.0183,0.594
3.6513,3.8513,4.8014,-4.8014,0.0184,0.595
3.6514,3.8514,4.8015,-4.8015,0.0185,0.596
3.6515,3.8515,4.8016,-4.8016,0.0186,0.597
3.6516,3.8516,4.8017,-4.8017,0.0187,0.598
3.6517,3.8517,4.8018,-4.8018,0.0188,0.599
3.6518,3.8518,4.8019,-4.8019,0.0189,0.6
3.6519,3.8519,4.802,-4.802,0.019,0.601
3.652,3.852,4.8021,-4.8021,0.0191,0.602
3.6521,3.8521,4.8022,-4.8022,0.0192,0.603
3.6522,3.8522,4.8023,-4.8023,0.0193,0.604
3.6523,3.8523,4.8024,-4.8024,0.0194,0.605
3.6524,3.8524,4.8025,-4.8025,0.0195,0.606
3.6525,3.8525,4.8026,-4.8026,0.0196,0.607
3.6526,3.8526,4.8027,-4.8027,0.0197,0.608
3.6527,3.8527,4.8028,-4.8028,0.0198,0.609
3.6528,3.8528,4.8029,-4.8029,0.0199,0.61
3.6529,3.8529,4.803,-4.803,0.02,0.611
3.653,3.853,4.8031,-4.8031,0.0201,0.612
3.6531,3.8531,4.8032,-4.8032,0.0202,0.613
3.6532,3.8532,4.8033,-4.8033,0.0203,0.614
3.6533,3.8533,4.8034,-4.8034,0.0204,0.615
3.6534,3.8534,4.8035,-4.8035,0.0205,0.616
3.6535,3.8535,4.8036,-4.8036,0.0206,0.617
3.6536,3.8536,4.8037,-4.8037,0.0207,0.618
3.6537,3.8537,4.8038,-4.8038,0.0208,0.619
3.6538,3.8538,4.8039,-4.8039,0.0209,0.62
3.6539,3.8539,4.804,-4.804,0.021,0.621
3.654,3.854,4.8041,-4.8041,0.0211,0.622
3.6541,3.8541,4.8042,-4.8042,0.0212,0.623
3.6542,3.8542,4.8043,-4.8043,0.0213,0.624
3.6543,3.8543,4.8044,-4.8044,0.0214,0.625
3.6544,3.8544,4.8045,-4.8045,0.0215,0.626
3.6545,3.8545,4.8046,-4.8046,0.0216,0.627
3.6546,3.8546,4.8047,-4.8047,0.0217,0.628
3.6547,3.8547,4.8048,-4.8048,0.0218,0.629
3.6548,3.8548,4.8049,-4.8049,0.0219,0.63
3.6549,3.8549,4.805,-4.805,0.022,0.631
3.655,3.855,4.8051,-4.8051,0.0221,0.632
3.6551,3.8551,4.8052,-4.8052,0.0222,0.633
3.6552,3.8552,4.8053,-4.8053,0.0223,0.634
3.6553,3.8553,4.8054,-4.8054,0.0224,0.635
3.6554,3.8554,4.8055,-4.8055,0.0225,0.636
3.6555,3.8555,4.8056,-4.8056,0.0226,0.637
3.6556,3.8556,4.8057,-4.8057,0.0227,0.638
3.6557,3.8557,4.8058,-4.8058,0.0228,0.639
3.6558,3.8558,4.8059,-4.8059,0.0229,0.64
3.6559,3.8559,4.806,-4.806,0.023,0.641
3.656,3.856,4.8061,-4.8061,0.0231,0.642
3.6561,3.8561,4.8062,-4.8062,0.0232,0.643
3.6562,3.8562,4.8063,-4.8063,0.0233,0.644
3.6563,3.8563,4.8064,-4.8064,0.0234,0.645
3.6564,3.8564,4.8065,-4.8065,0.0235,0.646
3.6565,3.8565,4.8066,-4.8066,0.0236,0.647
3.6566,3.8566,4.8067,-4.8067,0.0237,0.648
3.6567,3.8567,4.8068,-4.8068,0.0238,0.649
3.6568,3.8568,4.8069,-4.8069,0.0239,0.65
3.6569,3.8569,4.807,-4.807,0.024,0.651
3.657,3.857,4.8071,-4.8071,0.0241,0.652
3.6571,3.8571,4.8072,-4.8072,0.0242,0.653
3.6572,3.8572,4.8073,-4.8073,0.0243,0.654
3.6573,3.8573,4.8074,-4.8074,0.0244,0.655
3.6574,3.8574,4.8075,-4.8075,0.0245,0.656
3.6575,3.8575,4.8076,-4.8076,0.0246,0.657
3.6576,3.8576,4.8077,-4.8077,0.0247,0.658
3.6577,3.8577,4.8078,-4.8078,0.0248,0.659
3.6578,3.8578,4.8079,-4.8079,0.0249,0.66
3.6579,3.8579,4.808,-4.808,0.025,0.661
3.658,3.858,4.8081,-4.8081,0.0251,0.662
3.6581,3.8581,4.8082,-4.8082,0.0252,0.663
3.6582,3.8582,4.8083,-4.8083,0.0253,0.664
3.6583,3.8583,4.8084,-4.8084,0.0254,0.665
3.6584,3.8584,4.8085,-4.8085,0.0255,0.666
3.6585,3.8585,4.8086,-4.8086,0.0256,0.667
3.6586,3.8586,4.8087,-4.8087,0.0257,0.668
3.6587,3.8587,4.8088,-4.8088,0.0258,0.669
3.6588,3.8588,4.8089,-4.8089,0.0259,0.67
3.6589,3.8589,4.809,-4.809,0.026,0.671
3.659,3.859,4.8091,-4.8091,0.0261,0.672
3.6591,3.8591,4.8092,-4.8092,0.0262,0.673
3.6592,3.8592,4.8093,-4.8093,0.0263,0.674
3.6593,3.8593,4.8094,-4.8094,0.0264,0.675
3.6594,3.8594,4.8095,-4.8095,0.0265,0.676
3.6595,3.8595,4.8096,-4.8096,0.0266,0.677
3.6596,3.8596,4.8097,-4.8097,0.0267,0.678
3.6597,3.8597,4.8098,-4.8098,0.0268,0.679
3.6598,3.8598,4.8099,-4.8099,0.0269,0.68
3.6599,3.8599,4.81,-4.81,0.027,0.681
3.66,3.86,4.8101,-4.8101,0.0271,0.682
3.6601,3.8601,4.8102,-4.8102,0.0272,0.683
3.6602,3.8602,4.8103,-4.8103,0.0273,0.684
3.6603,3.8603,4.8104,-4.8104,0.0274,0.685
3.6604,3.8604,4.8105,-4.8105,0.0275,0.686
